feature,weight,sign_value,sign,hotel
rn_B,0.06380180923132533,0.03891429435338803,positivo,HOTEL_1
rn_WEL,0.05951735267005803,0.02501645725353579,positivo,HOTEL_1
rn_H,0.04025879172842995,-0.03139337483028451,negativo,HOTEL_1
rn_K,0.02777944219149652,0.006872767380949461,positivo,HOTEL_1
rn_T,0.008354171554864526,-0.00640043437126569,negativo,HOTEL_1
rn_EX,0.006269772664635988,-0.004662687404229714,negativo,HOTEL_1
rn_AV,0.0017282158086617224,0.0007222344944397576,positivo,HOTEL_1
is_weekend,0.0013039401834146823,0.00015070575561188667,positivo,HOTEL_1
rn_WEB,0.0010990746796065822,-0.0002211917223844773,negativo,HOTEL_1
rn_TR,0.0008006420122579056,-0.0007575367725864912,negativo,HOTEL_1
rn_J,0.0006647646297125625,-1.8570271030981607e-06,negativo,HOTEL_1
rn_TH,0.0005770963401699971,6.39351753903569e-05,positivo,HOTEL_1
season_winter,0.00043024137442918063,-0.00020641467172804255,negativo,HOTEL_1
season_summer,0.0003989980714857457,-3.6183871926046056e-05,negativo,HOTEL_1
rn_C,0.0003259539699082632,-1.7747177227036775e-05,negativo,HOTEL_1
rn_AL,0.0003025465225538843,-2.4902894634106644e-05,negativo,HOTEL_1
rn_O,0.00022071057527130728,-6.540468712423814e-05,negativo,HOTEL_1
season_spring,0.0001580239464530691,-3.0813818295417156e-05,negativo,HOTEL_1
rn_EA,4.659253681037822e-05,-6.041313966207935e-06,negativo,HOTEL_1
rn_L,0.0,0.0,positivo,HOTEL_1
rn_T,0.12780357881807347,-0.06459507592500277,negativo,HOTEL_2
rn_WEL,0.024819393259386646,0.01554932584063064,positivo,HOTEL_2
rn_L,0.019213997618741666,-0.016896133926762348,negativo,HOTEL_2
rn_J,0.011687656660818887,0.009800827794865732,positivo,HOTEL_2
rn_B,0.0068657071240610405,-0.002241962388687632,negativo,HOTEL_2
rn_WEB,0.005598179954087643,0.005335375389509333,positivo,HOTEL_2
rn_EX,0.005415275267536202,-0.004187446722044096,negativo,HOTEL_2
season_winter,0.0045925169136613,0.0006817821485693428,positivo,HOTEL_2
rn_EA,0.0030796363883889098,0.0029225655796008445,positivo,HOTEL_2
rn_AV,0.001517121562490366,-0.001064487520234014,negativo,HOTEL_2
rn_O,0.001307991365708928,-0.0011599360409136519,negativo,HOTEL_2
season_summer,0.001141034382945314,0.00046583318127758086,positivo,HOTEL_2
season_spring,0.0007602452311293231,-0.00021418056060465383,negativo,HOTEL_2
rn_TR,0.00031720213780765536,9.112318172742949e-05,positivo,HOTEL_2
is_weekend,0.0002716123704429287,-1.5655516556020616e-05,negativo,HOTEL_2
rn_TH,7.153069072784631e-05,-7.153069072784631e-05,negativo,HOTEL_2
rn_K,4.330016364837061e-05,-4.0437301027629784e-05,negativo,HOTEL_2
rn_AL,0.0,0.0,positivo,HOTEL_2
rn_C,0.0,0.0,positivo,HOTEL_2
rn_H,0.0,0.0,positivo,HOTEL_2
rn_J,0.05947302389959278,0.01107166925485371,positivo,HOTEL_3
rn_WEL,0.019728690155042045,-0.004854411489773534,negativo,HOTEL_3
rn_AV,0.013265682760242693,-0.002431867016462565,negativo,HOTEL_3
rn_T,0.01252292412176656,-0.006578353871851409,negativo,HOTEL_3
rn_TR,0.005230003783320268,0.003346810551016638,positivo,HOTEL_3
rn_TH,0.004941820019224235,0.0007556640542323404,positivo,HOTEL_3
rn_AL,0.0038432514741651097,0.0009072036105617683,positivo,HOTEL_3
rn_B,0.003503612917787267,-0.0013644972156469106,negativo,HOTEL_3
rn_EX,0.0032466830284352335,-0.0022250199201437936,negativo,HOTEL_3
rn_WEB,0.003070007577609182,2.6555488432552246e-05,positivo,HOTEL_3
rn_O,0.00241682977830218,-0.00022720600490761227,negativo,HOTEL_3
season_spring,0.0009963867294959718,5.851879643229476e-05,positivo,HOTEL_3
rn_L,0.0007637734137215083,7.200974524746673e-05,positivo,HOTEL_3
rn_K,0.0007236272052645746,-0.0001829526829877646,negativo,HOTEL_3
season_winter,0.00013007699866512474,3.7065282243324345e-06,positivo,HOTEL_3
season_summer,5.977702437869461e-05,4.7663017782122414e-05,positivo,HOTEL_3
is_weekend,4.844793702270097e-05,-2.8597292079785713e-06,negativo,HOTEL_3
rn_EA,2.161679446559977e-05,-9.919135997915907e-06,negativo,HOTEL_3
rn_C,0.0,0.0,positivo,HOTEL_3
rn_H,0.0,0.0,positivo,HOTEL_3
