hotel,feature,coef,ci_low,ci_high,p_value,signo,peso_abs
HOTEL_1,rn_WEL,0.06485087177879958,0.055254373969815286,0.07444736958778389,4.8244281478282966e-40,positivo,0.06485087177879958
HOTEL_1,rn_B,0.0552418499865242,0.048000384155283286,0.06248331581776511,1.5188265292859124e-50,positivo,0.0552418499865242
HOTEL_1,rn_J,0.0107155591193334,-0.005185754273436229,0.02661687251210303,0.1865752914304778,positivo,0.0107155591193334
HOTEL_1,is_weekend,0.002142015240444191,-0.017898272280566146,0.022182302761454525,0.8340644598768343,positivo,0.002142015240444191
HOTEL_2,rn_T,0.0810242321230302,0.07145346757002755,0.09059499667603285,7.873533563738668e-62,positivo,0.0810242321230302
HOTEL_2,rn_J,0.0376586712418734,0.030086391841909185,0.04523095064183762,1.893508441657261e-22,positivo,0.0376586712418734
HOTEL_2,is_weekend,0.0033971071915358934,-0.004665852487922027,0.011460066870993813,0.40893052664404694,positivo,0.0033971071915358934
HOTEL_3,rn_J,0.045149142898746594,0.038989532340577865,0.051308753456915324,8.423507956678676e-47,positivo,0.045149142898746594
HOTEL_3,rn_T,0.0270124009598995,0.022401264503608572,0.03162353741619043,1.6318703697683737e-30,positivo,0.0270124009598995
HOTEL_3,is_weekend,-0.002301066288093072,-0.004668469770008183,6.63371938220388e-05,0.05677439289147293,negativo,0.002301066288093072
