hotel,modelo,MAE,RMSE,MAPE
HOTEL_1,Moving Average (7),0.08432797093928385,0.10446245217920172,21.059776447946103
HOTEL_1,Naive,0.08469122989102232,0.11168915337209712,20.196403535388214
HOTEL_1,Seasonal Naive,0.1302542812662169,0.16488482826403222,32.35577262570816
HOTEL_2,Naive,0.029491974442886083,0.04100891146053775,4.721933986789313
HOTEL_2,Moving Average (7),0.03574211358222578,0.051603763007179025,6.01153123710476
HOTEL_2,Seasonal Naive,0.0655290634252766,0.09409194986438196,11.130253716052191
HOTEL_3,Naive,0.02050783042943434,0.026387125037116016,3.4347069965570887
HOTEL_3,Moving Average (7),0.02609706008094022,0.03319660174164711,4.518616532161338
HOTEL_3,Seasonal Naive,0.04808416105164596,0.06309857744378061,8.24372952638068
